date,Q1,Q2,Q3,Q4,Q5,horizon
2006-09-08,0.02215028028860807,0.014680301523866034,0.01395624042187616,0.011302322184518768,0.003721789788182584,10
2006-09-11,0.03144885832035496,0.028322030828149204,0.02857348058562259,0.023012130979784995,0.02146656704551694,10
2006-09-12,0.008400415699617267,0.014109425172252095,0.012981181194853166,0.011302794044117954,0.007356367529709936,10
2006-09-13,0.004017535232447008,0.004395530869841377,0.010341430845955644,0.004065963432837684,0.0016438974535775287,10
2006-09-14,0.004241376417531551,0.010906512302820708,0.011994953280895749,0.011690779857943713,0.00929235904713198,10
2006-09-15,-0.0075767755421548505,0.00125662782553464,0.0017156094700151521,0.005873765481041656,0.002966917902278649,10
2006-09-18,-0.01748484486770039,-0.00512571904165166,-0.0039591366227130775,-0.006296048759849167,-0.011632555771712747,10
2006-09-19,-0.011408919378660955,-0.004800643426569972,-0.001555902401031574,-0.005729082313973654,-0.011160730805854549,10
2006-09-20,-0.004219919700533567,0.00180060393331245,0.007033798117693471,0.0018481815475573859,0.0012704572560129496,10
2006-09-21,0.015822436199089993,0.021307277416594477,0.025880826273373812,0.022439482413353754,0.023044706358971632,10
2006-09-22,0.024252811929721917,0.02619046616612028,0.029824383899138874,0.026944596251913134,0.03193058619349266,10
2006-09-25,0.020879485234634954,0.01822125947927753,0.024112176496513926,0.020639839555674014,0.028757548298991718,10
2006-09-26,0.017467916017108735,0.016442365291847002,0.020442425573789624,0.019712142362174688,0.027529218842934886,10
2006-09-27,0.015460405573992328,0.01199030255526458,0.008857177048587343,0.015664196039009322,0.01715486081443019,10
2006-09-28,0.037728592613905036,0.02733276320386399,0.03109979840204998,0.032996627888125275,0.039555443382342625,10
2006-09-29,0.05178835176393448,0.042649520441405665,0.045279304865607,0.046267452435644014,0.05619578614069973,10
2006-10-02,0.07310352187978665,0.061310790527635425,0.06214939933230845,0.06560281122029135,0.08099582399174166,10
2006-10-03,0.06295038791754776,0.05845637893166661,0.05447852175776822,0.06514694050196959,0.07997024322078933,10
2006-10-04,0.04720868598770728,0.037527725204502475,0.03299106492270731,0.04040893241157709,0.04922803660236675,10
2006-10-05,0.03900396961695619,0.03333153230695979,0.0273191562348989,0.03412904774259412,0.0395503522079067,10
2006-10-06,0.03274012099000922,0.031090508195224173,0.02346199214136111,0.033186741191367004,0.0327214359821613,10
2006-10-09,0.02740853017137042,0.028080932996741685,0.022198069385814707,0.0306005084400291,0.02698713185008031,10
2006-10-10,0.021743209287567265,0.025649573961786142,0.02035576647711386,0.02600098056760599,0.02358719376661412,10
2006-10-11,0.03398448395228115,0.0365589164158443,0.032019104607053324,0.03593582461231701,0.0339177762978105,10
2006-10-12,0.022492165942983134,0.03236492936310998,0.024599933797913375,0.019387753236773823,0.0234242209962967,10
2006-10-13,0.007491992545225507,0.012203136145521471,0.008143728412205353,-0.0033801745459896074,-0.0014852734448739463,10
2006-10-16,0.0038299169172611312,0.00382406788057979,0.001586488627903921,-0.007695561743261067,-0.0119354806386519,10
2006-10-17,0.006927068365369533,0.009781240393913829,0.004511665277305061,-0.0035058602838943798,-0.004303883286552276,10
2006-10-18,-0.007666163420351627,0.0015750854651803816,-0.005000361973667576,-0.017564977618049173,-0.018104260967399345,10
2006-10-19,-0.014189935448609537,-0.008594431807891366,-0.01027243594444091,-0.024460775078458542,-0.031165553921270427,10
2006-10-20,-0.0032828637039608276,0.001054895534966864,-0.004308877336554747,-0.010420180072033219,-0.015752665238471415,10
2006-10-23,0.012964238365049204,0.007268413928527735,0.0007612841842828419,0.004946144021181471,-0.005424515812703623,10
2006-10-24,0.01306531547949887,0.008680068243145428,0.003407888004895843,0.007875799924386908,-0.008030069331332275,10
2006-10-25,0.009414368498785197,0.01322017742317143,0.0061983403064021555,0.008411630276055133,-0.007863558058449975,10
2006-10-26,-0.010196944456642248,-0.005991932459214163,-0.006559801859876386,-0.007166366357013098,-0.022602617622482342,10
2006-10-27,0.0046778933853770435,0.012971428637776727,0.012076503960845423,0.012903972185192797,0.0005596232705780149,10
2006-10-30,0.004103334924538028,0.013876604406421987,0.011703132582970533,0.010579129768752062,0.0026386037829141794,10
