date,horizon,ic
2007-01-10,10,-0.04044862375754385
2007-01-11,10,-0.049862603056459565
2007-01-12,10,-0.016335952201266567
2007-01-16,10,-0.04991722499043842
2007-01-17,10,-0.0413199754210639
2007-01-18,10,-0.03245390414647322
2007-01-19,10,-0.03925340900866528
2007-01-22,10,-0.00040682940064022807
2007-01-23,10,0.020516867958939502
2007-01-24,10,0.0066536743526776675
2007-01-25,10,0.02481325599757957
2007-01-26,10,-0.00021760521859152674
2007-01-29,10,-0.041169533247560404
2007-01-30,10,-0.013887195098239045
2007-01-31,10,0.004813830500669328
2007-02-01,10,0.03201150709292433
2007-02-02,10,0.03134492348802422
2007-02-05,10,0.014928815870638063
2007-02-06,10,-0.0006381227178671866
2007-02-07,10,-0.021754733625071465
2007-02-08,10,-0.028454469018454633
2007-02-09,10,0.009613155510351095
2007-02-12,10,-0.02850863037881416
2007-02-13,10,-0.03113868606316948
2007-02-14,10,-0.045042898034307964
2007-02-15,10,-0.06804560508476683
2007-02-16,10,-0.058980529849533316
2007-02-20,10,-0.03281076746072998
2007-02-21,10,0.0013638968559310529
2007-02-22,10,0.0651460580058106
2007-02-23,10,0.09470025689951415
2007-02-26,10,0.12241417389479213
2007-02-27,10,0.1590948958209379
2007-02-28,10,0.15072052532258381
2007-03-01,10,0.17818134294883786
2007-03-02,10,0.17651210689889496
2007-03-05,10,0.19274074721004236
2007-03-06,10,0.20041915800965215
2007-03-07,10,0.15015029725403703
2007-03-08,10,0.10769221674155072
2007-03-09,10,0.08138459212371939
2007-03-12,10,0.046492127196663985
2007-03-13,10,0.03395296997766158
2007-03-14,10,0.04361312740645142
2007-03-15,10,0.05949430272066782
2007-03-16,10,0.04269391986308622
2007-03-19,10,0.037730900976549075
2007-03-20,10,0.0639632726805426
2007-03-21,10,0.09824807564243138
2007-03-22,10,0.08309547186438862
2007-03-23,10,0.12886870819485788
2007-03-26,10,0.09485141411807436
2007-03-27,10,0.10222197823916054
2007-03-28,10,0.1113284037448001
2007-03-29,10,0.06205308988512794
2007-03-30,10,0.050912834069471564
2007-04-02,10,0.008354546563303145
2007-04-03,10,-0.03198998913490644
2007-04-04,10,-0.08422683240500621
2007-04-05,10,-0.07762748366457926
2007-04-09,10,-0.027954498083697807
2007-04-10,10,-0.04871745965657914
2007-04-11,10,-0.022823728892741757
