formation_date,entry_date,exit_date,n_holdings,gross_return,net_return,turnover,cost,median_marketcap,median_adv_proxy
2014-11-03,2014-11-04,2014-12-03,321,0.0019764943356771992,0.0014979010635059456,0.4785932721712538,0.00047859327217125377,1853.25,
2014-12-02,2014-12-03,2015-01-02,320,0.017518995586618305,0.017137093746127506,0.38190184049079756,0.00038190184049079754,2252.5,
2014-12-31,2015-01-02,2015-02-02,321,-0.05114924122875394,-0.0515507796902924,0.4015384615384615,0.00040153846153846153,1313.6,
2015-01-30,2015-02-02,2015-03-03,324,0.041556348961299144,0.04110849620056295,0.44785276073619634,0.0004478527607361963,1663.1,
2015-03-02,2015-03-03,2015-03-31,321,-0.010034288243153573,-0.010560361862785474,0.5260736196319018,0.0005260736196319017,1369.9,
2015-03-30,2015-03-31,2015-04-29,323,0.01270316339922148,0.012266240322298404,0.4369230769230769,0.0004369230769230769,1874.9,
2015-04-28,2015-04-29,2015-05-28,320,-0.0035625703590801876,-0.004057954974464803,0.49538461538461537,0.0004953846153846154,1064.1,
2015-05-27,2015-05-28,2015-06-25,320,0.02075921496505236,0.020279338804061648,0.47987616099071206,0.0004798761609907121,1277.8,
2015-06-24,2015-06-25,2015-07-24,321,-0.06886227551148812,-0.06924381397302658,0.38153846153846155,0.00038153846153846153,1239.8,
2015-07-23,2015-07-24,2015-08-21,323,-0.05761542206762082,-0.05804926822146697,0.4338461538461538,0.0004338461538461538,1856.4,
2015-08-20,2015-08-21,2015-09-21,324,0.004182506545954085,0.0037178911613387003,0.4646153846153846,0.00046461538461538455,1763.6,
2015-09-18,2015-09-21,2015-10-19,323,0.016783772318997695,0.016475490110408737,0.30828220858895705,0.00030828220858895703,1894.2,
2015-10-16,2015-10-19,2015-11-16,322,-0.01813631509186648,-0.018581100367940098,0.4447852760736196,0.0004447852760736196,1303.5,
2015-11-13,2015-11-16,2015-12-15,317,-0.03167511756809435,-0.032185920037230156,0.5108024691358025,0.0005108024691358026,1239.7,
2015-12-14,2015-12-15,2016-01-14,315,-0.103924771738751,-0.10433754432442079,0.4127725856697819,0.00041277258566978193,1632.1,
2016-01-13,2016-01-14,2016-02-12,308,-0.0529871479581877,-0.05337394041101789,0.3867924528301887,0.0003867924528301887,1588.5,
2016-02-11,2016-02-12,2016-03-14,313,0.13719784650757524,0.13667094777339803,0.5268987341772152,0.0005268987341772152,1568.2,
