date,Q1,Q2,Q3,Q4,Q5,horizon
2002-03-15,0.008495255248913673,0.00652363252222931,0.005409362431343915,0.005611690022308257,0.008885113695211534,1
2002-03-18,0.004073756101131498,0.0056328081805062545,0.003527976010132373,0.006340893109124057,0.002102972838569817,1
2002-03-19,-0.014366241429124517,-0.008141851936711663,-0.009879290888786942,-0.014118879310460531,-0.02290345220867536,1
2002-03-20,0.014386088400298437,0.007413396452515234,0.00811494603334772,0.008708558984428273,0.014141683100435438,1
2002-03-21,-0.005609559061823633,-0.005658144303090209,-0.006003976280775521,-0.004284053307844666,-0.0088463348513312,1
2002-03-22,-0.014654015326480948,-0.012522460017471943,-0.01115715377175376,-0.015017813676064888,-0.021202160418747732,1
2002-03-25,0.0023738897166626525,0.009421104289759003,0.010941725193711529,0.01109959485849047,0.004636238609359151,1
2002-03-26,0.006816068285119522,0.010027312671390358,0.009432548742877469,0.0109311349989041,0.009238386288164764,1
2002-03-27,0.007635765989552928,0.0033913631017678664,0.0036659642903266736,0.006001246478699621,0.012731057061298257,1
2002-03-28,-0.0018538152565387488,-0.003961803460996402,-0.002643967868357292,-0.004330373702847891,-0.002919912430314695,1
2002-04-01,-0.012185939428952014,-0.009512655602600386,-0.007349428154334687,-0.012312262589964136,-0.02577219831601707,1
2002-04-02,-0.015001690681816685,-0.012712282408419186,-0.008580401853696894,-0.010159570421899368,-0.01758923592062478,1
2002-04-03,0.0019271105988180736,0.0028767498439037035,0.0021719554766273454,0.0019015253065162191,3.260407993824138e-05,1
2002-04-04,-0.00872725092845795,-0.0029753073709230995,-0.00013360402705846203,-0.0017210920751409924,-0.003704506388067167,1
2002-04-05,0.005546833299072958,0.008164216395878889,0.00874883437522912,0.01215640412758238,0.009568799396573489,1
2002-04-08,-0.007459294391441756,-0.0018518020738437038,-0.0022145522068190418,-0.003025414703905365,-0.006773107767169754,1
2002-04-09,0.00940995156164673,0.012099995219394645,0.016507886444979126,0.015321318704918407,0.009351336823970963,1
2002-04-10,-0.024517655404380587,-0.014583091407713779,-0.01547173124463228,-0.017537571527241533,-0.018564009438859313,1
2002-04-11,0.02134746005854067,0.012410317120820202,0.013645946059365402,0.017996182023825257,0.019764012094154664,1
2002-04-12,-0.0020356476637531638,-0.001055484391400205,-0.004253115751002232,-0.0025260818059352342,0.00554188844793363,1
2002-04-15,0.04441351823734494,0.024077763479820907,0.02180897464263343,0.021652007747158693,0.028632427004371647,1
2002-04-16,-3.0479242519853667e-05,-0.004708284353685221,-0.004130204963702811,-0.002249367120192704,-0.0017284436903520892,1
2002-04-17,-0.0025858172393957014,-0.004527152269477355,-0.0027578901225540874,-0.004016199656846048,-0.006848874699845445,1
2002-04-18,-0.0056454882946224486,-0.001145356799476924,0.0019445202802515005,-0.0007510077853659911,-0.0010358055411894952,1
2002-04-19,-0.022960105496435946,-0.014118699175018512,-0.012608934682098916,-0.013129334593483309,-0.017278353707943308,1
2002-04-22,-0.008209518457887763,-0.0011243741350871605,-0.0007594994854763662,-0.0014018784609549516,-0.006123025155047203,1
2002-04-23,-0.01120897758887188,-0.007645985585018474,-0.006840246267540647,-0.009856456070232767,-0.009449543940827984,1
2002-04-24,-0.0035894887114170508,0.0006056081589568253,-0.0011057558743409535,0.0025169623863527573,0.0029015491284519333,1
2002-04-25,-0.022452586148589783,-0.01346416738702225,-0.012530039806234518,-0.012532233356754437,-0.023251763595173593,1
2002-04-26,-0.02111709446677222,-0.007672084866147212,-0.004624950136162985,-0.006350230183459179,-0.00678413150958776,1
2002-04-29,0.01618892384773128,0.016761312584402412,0.014699588546431878,0.016563805311294522,0.02257031216300081,1
2002-04-30,-0.008755123360961995,-0.002625005731551002,0.0014503230179350578,0.0008179637325169189,-0.0024837034021402858,1
2002-05-01,-0.009280276336208405,0.0036106731213258773,0.0023666968131106757,0.001770822686154403,-0.006348531423144431,1
2002-05-02,-0.009540993261849793,-0.0014206118654016536,-0.004316557692359855,-0.003235739499473382,-0.012800119983874373,1
2002-05-03,-0.03623705231663419,-0.018958260986442484,-0.01719694711908667,-0.019395401320462326,-0.02141637613440097,1
2002-05-06,-0.015196178595394898,-0.006658018278081885,-0.0061750117273880354,-0.006718460337047963,-0.01334736492354388,1
